input_text,target_text
"I CoLoUr 🎨 the centre of my favourite book.","I color the center of my favorite book."
"He is travelling ✈️ to the THEATRE.","He is traveling to the theater."
"I have a flat near the lift.","I have an apartment near the elevator."
"I have a flat near the lift. ","I have an apartment near the elevator."
"The PROGRAMME 🗓️ will start at 6 O'CLOCK.","The program will start at 6 o'clock."
"HE has a cheque 💳 for payment.","He has a check for payment."
"She wears jewellery 💎 on occasions...","She wears jewelry on occasions."
" THEY are Practising   ⚽ for the football MATCH.","They are practicing for the soccer game."
"He is using a spanner for the repair.","He is using a wrench for the repair."
"The aeroplane ✈️ landed on time.","The airplane landed on time."
"hello... 😃 how are you?","hello... 😃 how are you?"
"She bought some colour pencils.","She bought some color pencils."
"I am going to the lift.","I am going to the elevator."
"His behaviour 🤔 is unacceptable.","His behavior is unacceptable."
"The cheque 💳 arrived late 😢.","The check arrived late."
"Do you know where the lift is?","Do you know where the elevator is?"
"The labor union is organizing a programme 🗓️.","The labour union is organizing a program."
"He enjoys playing football ⚽.","He enjoys playing soccer."
"I love visiting the theatre.","I love visiting the theater."
"Their practise sessions are improving.","Their practice sessions are improving."
"He likes the colour red.","He likes the color red."
"The cheque has been approved.","The check has been approved."
"The aeroplane ✈️ was delayed.","The airplane was delayed."
"Their neighbourhood is beautiful.","Their neighborhood is beautiful."
"They've cancelled the programme.","They've canceled the program."
"She practises yoga regularly.","She practices yoga regularly."
"The cheque has not arrived yet.","The check has not arrived yet."
"He is organizing a theatre play.","He is organizing a theater play."
"I prefer the lift to the stairs.","I prefer the elevator to the stairs."
"His behaviour has been exemplary.","His behavior has been exemplary."
"Is the cheque ready for collection?","Is the check ready for collection?"
"Please colour 🎨 this drawing.","Please color this drawing."
"The aeroplane ✈️ has landed safely.","The airplane has landed safely."
"They're still practising football ⚽.","They're still practicing soccer."
"Her jewellery collection is stunning.","Her jewelry collection is stunning."
"What's the programme for tomorrow?","What's the program for tomorrow?"
"Their labour union is powerful.","Their labor union is powerful."
"They enjoy going to the theatre.","They enjoy going to the theater."
"Her favourite dish is lasagna.","Her favorite dish is lasagna."
"I need to go to the flat.","I need to go to the apartment."
"The cheque is invalid.","The check is invalid."
"The aeroplane ✈️ is ready for boarding.","The airplane is ready for boarding."
"He prefers the colour blue.","He prefers the color blue."
"The theatre play was amazing.","The theater play was amazing."
"The programme 🗓️ starts at 10 AM.","The program starts at 10 AM."
"Their neighbourhood is very welcoming.","Their neighborhood is very welcoming."
"Please practise before the event.","Please practice before the event."
"Her jewellery is antique.","Her jewelry is antique."
"The cheque 💳 bounced.","The check bounced."
"She wears jewellery every day.","She wears jewelry every day."
"He works in the theatre.","He works in the theater."
"Her behaviour 🤔 is strange lately.","Her behavior is strange lately."
"The cheque is in processing.","The check is in processing."
"They are rehearsing for the programme.","They are rehearsing for the program."
"The aeroplane ✈️ is landing shortly.","The airplane is landing shortly."
"Her favourite sport is football ⚽.","Her favorite sport is soccer."
"The cheque will be sent tomorrow.","The check will be sent tomorrow."
"The aeroplane has been delayed again.","The airplane has been delayed again."
"They prefer the colour green.","They prefer the color green."
"She is visiting the theatre tomorrow.","She is visiting the theater tomorrow."
"The programme is about to begin.","The program is about to begin."
"The cheque 💳 is ready for pickup.","The check is ready for pickup."
"Her favourite pastime is painting.","Her favorite pastime is painting."
"His favourite sport is rugby.","His favorite sport is rugby."
"The aeroplane ✈️ is taking off.","The airplane is taking off."
"She practises football daily.","She practices soccer daily."
"The cheque is overdue.","The check is overdue."
"Her behaviour has been concerning.","Her behavior has been concerning."
"The cheque is being reissued.","The check is being reissued."
"The theatre group is performing tonight.","The theater group is performing tonight."
"They are enjoying the programme.","They are enjoying the program."
"Their jewellery is made of gold.","Their jewelry is made of gold."
"The cheque has been misplaced.","The check has been misplaced."
"Her favourite flower is a rose.","Her favorite flower is a rose."
"He is practicing football ⚽ right now.","He is practicing soccer right now."
"Her jewellery box is full.","Her jewelry box is full."
"The cheque 💳 has been canceled.","The check has been canceled."
"The aeroplane ✈️ was on time.","The airplane was on time."
"He loves the colour yellow.","He loves the color yellow."
"She is practising for the marathon.","She is practicing for the marathon."
"The programme 🗓️ was postponed.","The program was postponed."
"The aeroplane ✈️ has already taken off.","The airplane has already taken off."
"The cheque will be delivered tomorrow.","The check will be delivered tomorrow."
"They enjoy watching theatre performances.","They enjoy watching theater performances."
"She painted the colour blue on the wall.","She painted the color blue on the wall."
"He is participating in the programme.","He is participating in the program."
"The aeroplane ✈️ was delayed again.","The airplane was delayed again."
"The cheque 💳 is ready for withdrawal.","The check is ready for withdrawal."
"She has a collection of beautiful jewellery 💎.","She has a collection of beautiful jewelry."
"The cheque is still pending.","The check is still pending."
"The aeroplane ✈️ will arrive shortly.","The airplane will arrive shortly."
"The theatre's performance was breathtaking.","The theater's performance was breathtaking."
"Her behaviour has been commendable.","Her behavior has been commendable."
"The cheque was never received.","The check was never received."
"The aeroplane ✈️ took off on time.","The airplane took off on time."
"She wears jewellery for special occasions.","She wears jewelry for special occasions."
"She adores the colour purple.","She loves the color purple."  
"The cheque needs to be signed.","The check must be signed."  
"I am heading to the theatre tonight.","I am going to the theater tonight."  
"Their neighbourhood is quite friendly.","Their neighborhood is very welcoming."  
"The aeroplane is flying low.","The airplane is flying at a low altitude."  
"His behaviour was quite rude.","His behavior was extremely impolite."  
"She always practises the violin before dinner.","She always practices the violin before having her evening meal."  
"The programme will start at 7 PM sharp.","The program is scheduled to begin at exactly 7 PM."  
"The aeroplane was delayed by an hour.","The airplane arrived an hour later than expected."  
"His favourite dessert is chocolate cake.","His favorite sweet treat is a rich chocolate cake."  
"She has a cheque ready for deposit.","She's got a check ready for deposit."  
"They are watching a play at the theatre.","They're seeing a show at the theater."  
"He is still practising football.","He's still practicing soccer."  
"I have a flat near the lift.","I've got an apartment near the elevator."  
"He received a cheque 💳 for his work.","He got a check 💵 for his job."  
"The aeroplane ✈️ is departing soon.","The airplane ✈️ is about to take off."  
"The programme 🗓️ was postponed to next week.","The program 📅 got rescheduled for next week."  
"I love the colour of the sky at sunset.","I love the color of the sky at sunset."  
"He deposited the cheque at the bank.","He deposited the check at the bank."  
"They cancelled the theatre performance.","They canceled the theater performance."  
"Their behaviour was outstanding.","Their behavior was outstanding."  
"The aeroplane took off smoothly.","The airplane took off smoothly."  
"She enjoys wearing jewellery on special days.","She enjoys wearing jewelry on special days."  
"The programme was well organized.","The program was well organized."  
"He practises football every weekend.","He practices soccer every weekend."  
"Her favourite subject is literature.","Her favorite subject is literature."  
"The cheque is being processed.","The check is being processed."  
"They live in a beautiful neighbourhood.","They live in a beautiful neighborhood."  
"The theatre was fully booked.","The theater was fully booked."  
"The aeroplane arrived right on time.","The airplane arrived right on time."  
"I prefer bright colours over dull ones.","I prefer bright colors over dull ones."  
"The programme was interrupted due to rain.","The program was interrupted due to rain."  
"He found a spanner in the toolbox.","He found a wrench in the toolbox."  
"The cheque will clear in three days.","The check will clear in three days."  
"She practises meditation in the morning.","She practices meditation in the morning."  
"The aeroplane is preparing for landing.","The airplane is preparing for landing."  
"The jewellery store is having a sale.","The jewelry store is having a sale."  
"They are rehearsing for the theatre play.","They are rehearsing for the theater play."  
"His behaviour has changed recently.","His behavior has changed recently."  
"The programme schedule has been updated.","The program schedule has been updated."  
"He prefers the lift over the stairs.","He prefers the elevator over the stairs."  
"The aeroplane will be boarding soon.","The airplane will be boarding soon."  
"The cheque was rejected by the bank.","The check was rejected by the bank."  
"She is painting with different colours.","She is painting with different colors."  
"The programme has been postponed.","The program has been postponed."  
"The aeroplane's engines are being inspected.","The airplane's engines are being inspected."  
"He practises his guitar skills daily.","He practices his guitar skills daily."  
"The jewellery she wears is expensive.","The jewelry she wears is expensive."  
"The cheque has been successfully processed.","The check has been successfully processed."  
"Their favourite movie is playing tonight.","Their favorite movie is playing tonight."  
"He booked a ticket to the theatre.","He booked a ticket to the theater."  
"The neighbourhood has many parks.","The neighborhood has many parks."  
"The aeroplane will land in 30 minutes.","The airplane will land in 30 minutes."  
"They are painting the house with bright colours.","They are painting the house with bright colors."  
"His behaviour during the meeting was professional.","His behavior during the meeting was professional."  
"She prefers gold jewellery over silver.","She prefers gold jewelry over silver."  
"The programme starts early in the morning.","The program starts early in the morning."  
"The theatre group is performing live.","The theater group is performing live."  
"He took the lift to the tenth floor.","He took the elevator to the tenth floor."  
"The cheque is ready for collection.","The check is ready for collection."  
"The aeroplane was delayed due to weather.","The airplane was delayed due to weather."  
"Their favourite pastime is hiking.","Their favorite pastime is hiking."  
"The programme included a musical performance.","The program included a musical performance."  
"He is still practising his speech.","He is still practicing his speech."  
"She designed a piece of custom jewellery.","She designed a piece of custom jewelry."  
"He is wearing a colourful outfit.","He is wearing a colorful outfit."  
"The cheque was mailed yesterday.","The check was mailed yesterday."  
"She bought a ticket to the theatre.","She bought a ticket to the theater."  
"His behaviour towards others is kind.","His behavior towards others is kind."  
"The aeroplane flew through the clouds.","The airplane flew through the clouds."  
"The jewellery store is closed on Sundays.","The jewelry store is closed on Sundays."  
"The programme will resume shortly.","The program will resume shortly."  
"He practises football with his friends.","He practices soccer with his friends."  
"Her favourite fruit is a mango.","Her favorite fruit is a mango."  
"The cheque was lost in the mail.","The check was lost in the mail."  
